algo_tag,algo,FND,HND,LND,drop_p,total_p,pdr,timely_transfer_rate,energy_rate,energy_per_delivered,throughput_bits_per_round,avg_ch_per_round,avg_cluster_size,avg_hops_to_bs,malicious_delay,malicious_drop,blacklisted_malicious,blacklisted_normal,control_overhead_bits,rounds_run,seed,ratio,drop_rate
SHEER-2025,SHEER-2025,532,2353,7916,35011,79703,0.6947974963823073,0.9288483494975095,0.8757795160355655,0.0012537403499365519,40274.38100050531,1.3571248105103588,7.753334616649422,1.0145163921056923,1580,10901,30,0,20605400,7916,42,0.3,0.3052025036176927
ACTAR-2024,ACTAR-2024,1403,2171,7477,36611,80638,0.6877500021322144,0.937312433344081,0.8731491109308703,0.0012393924432748031,43139.22696268557,1.4426909188177077,7.624335103842257,1.0,1424,11143,30,0,21006200,7477,42,0.3,0.3122499978677857
TFSM-DPC-2024,TFSM-DPC-2024,91,2307,8160,38020,76424,0.6677851176121072,0.9438919711085523,0.8911060831884698,0.0013078850836388,37462.74509803922,1.7564950980392158,5.989218895891713,1.0,1207,8486,30,0,20033400,8160,42,0.3,0.33221488238789276
DST-WOA-2024,DST-WOA-2024,1073,2626,8379,35758,81843,0.695937959711227,0.9411067531737595,0.8845467279376292,0.0012213437346743528,39070.53347654852,1.2485976846879103,7.887905421149243,1.0,1552,10118,30,0,21077200,8379,42,0.3,0.30406204028877304
TRAIL (ours),TRAIL (ours),1426,2277,8913,34113,78559,0.6972362255041181,0.9389885309130717,0.8746588599219675,0.0012720091068733658,35255.91832155279,1.3408504431728936,6.330075692411604,1.0513881286676257,1863,9941,30,0,20212200,8913,42,0.3,0.3027637744958819
SHEER-2025,SHEER-2025,622,3197,8014,49211,76644,0.6089865321202972,0.8931814623453891,0.8255319379152424,0.0013041161029774446,38255.05365610182,1.2750187172448215,9.59099735185647,1.0140780752570324,1530,15729,40,0,21897600,8014,42,0.4,0.3910134678797028
ACTAR-2024,ACTAR-2024,1468,2561,7442,49718,74938,0.6011583878834552,0.8950332274680403,0.8187908902459398,0.0013334756776652676,40278.419779629134,1.362805697393174,9.163729881453607,1.0,1491,15916,40,0,21660600,7442,42,0.4,0.39884161211654473
TFSM-DPC-2024,TFSM-DPC-2024,185,2916,8990,50751,72538,0.5883574365920723,0.9052220904905015,0.8243025381146176,0.0013778198694335666,32274.972191323694,1.5808676307007787,6.788956777371669,1.0,1530,14605,40,0,21121600,8990,42,0.4,0.4116425634079277
DST-WOA-2024,DST-WOA-2024,1304,3091,7997,48740,76641,0.6112648646924175,0.896178285773933,0.8260927805080548,0.0013041203734528582,38334.875578341875,1.2300862823558834,9.493391569457595,1.0,1520,15471,40,0,21859200,7997,42,0.4,0.38873513530758247
TRAIL (ours),TRAIL (ours),1442,2525,8861,48571,74700,0.6059819422248541,0.8941097724230255,0.8173576394045504,0.0013375619977000369,33720.799006884095,1.2828123236655005,7.780599532819939,1.0352744310575637,1924,15747,40,0,21428000,8861,42,0.4,0.3940180577751458
SHEER-2025,SHEER-2025,1206,2804,7521,62394,71799,0.5350428114730277,0.8481315895764565,0.7661841158012384,0.001392306978694455,38185.87953729557,1.2294907592075521,11.365015100575533,1.0137884928759453,1493,21383,50,0,22840600,7521,42,0.5,0.4649571885269723
ACTAR-2024,ACTAR-2024,1485,2596,7662,63875,70433,0.524414033415731,0.8508937571876819,0.754795185800221,0.0014191184378309855,36770.033933698774,1.2836074132080397,10.614405917322909,1.0,1545,22394,50,0,22799600,7662,42,0.5,0.475585966584269
TFSM-DPC-2024,TFSM-DPC-2024,133,3222,8327,62499,70745,0.5309432319654168,0.8706763728885434,0.7822121283044838,0.0014128035438884434,33983.42740482767,1.5276810375885672,8.499470740620014,1.0,1533,18911,50,0,22368600,8327,42,0.5,0.4690567680345832
DST-WOA-2024,DST-WOA-2024,1192,2914,7957,62101,71629,0.5356240185448291,0.8431920032389116,0.7644268334407137,0.0013952677739364006,36008.04323237401,1.1550835742113863,11.363175281423365,1.0,1609,21585,50,0,22792600,7957,42,0.5,0.4643759814551709
TRAIL (ours),TRAIL (ours),1433,2119,8356,60709,71754,0.541690887266633,0.851980377400563,0.7664042398855361,0.0013928821057944552,34348.492101483964,1.2254667304930589,9.68946950010258,1.0353151043844246,1962,20855,50,0,22586800,8356,42,0.5,0.45830911273336705
